event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps
1768644054305_layering_cluster_38677,2026-01-17T10:00:54.305000+00:00,1768644054305,Jan-1-31,layering_cluster,38677,TP,0.8,Suspicious: 256 trades at sub-tick level (layering),,,,,57.479,,,,,0.010498
1768650685075_layering_cluster_51133,2026-01-17T11:51:25.075000+00:00,1768650685075,Jan-1-31,layering_cluster,51133,TP,0.8,Suspicious: 71 trades at sub-tick level (layering),,,,,58.911,,,,,0.010494
1768656393305_layering_cluster_62168,2026-01-17T13:26:33.305000+00:00,1768656393305,Jan-1-31,layering_cluster,62168,TP,0.8,Suspicious: 91 trades at sub-tick level (layering),,,,,58.602,,,,,0.01049
1768674135488_layering_cluster_108846,2026-01-17T18:22:15.488000+00:00,1768674135488,Jan-1-31,layering_cluster,108846,TP,0.7,Suspicious: dense cluster of 18 trades,,,,,57.064,,,,,0.010475
1768677705645_layering_cluster_113599,2026-01-17T19:21:45.645000+00:00,1768677705645,Jan-1-31,layering_cluster,113599,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,55.848,,,,,0.010487
1768680026940_layering_cluster_116203,2026-01-17T20:00:26.940000+00:00,1768680026940,Jan-1-31,layering_cluster,116203,TP,0.8,Suspicious: 226 trades at sub-tick level (layering),,,,,56.235,,,,,0.010494
1768680337700_layering_cluster_116476,2026-01-17T20:05:37.700000+00:00,1768680337700,Jan-1-31,layering_cluster,116476,TP,0.8,Suspicious: 52 trades at sub-tick level (layering),,,,,59.343,,,,,0.010494
1768680565063_layering_cluster_116563,2026-01-17T20:09:25.063000+00:00,1768680565063,Jan-1-31,layering_cluster,116563,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,59.991,,,,,0.010493
1768681958820_layering_cluster_118649,2026-01-17T20:32:38.820000+00:00,1768681958820,Jan-1-31,layering_cluster,118649,TP,0.7,Suspicious: dense cluster of 18 trades,,,,,53.137,,,,,0.010494
1768682849822_layering_cluster_119399,2026-01-17T20:47:29.822000+00:00,1768682849822,Jan-1-31,layering_cluster,119399,TP,0.7,Suspicious: dense cluster of 20 trades,,,,,58.634,,,,,0.010485
1768687222939_layering_cluster_124728,2026-01-17T22:00:22.939000+00:00,1768687222939,Jan-1-31,layering_cluster,124728,TP,0.8,Suspicious: 195 trades at sub-tick level (layering),,,,,59.557,,,,,0.010492
1768694347373_layering_cluster_140378,2026-01-17T23:59:07.373000+00:00,1768694347373,Jan-1-31,layering_cluster,140378,TP,0.8,Suspicious: 66 trades at sub-tick level (layering),,,,,58.02,,,,,0.01051
1768699589588_layering_cluster_153352,2026-01-18T01:26:29.588000+00:00,1768699589588,Jan-1-31,layering_cluster,153352,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,51.084,,,,,0.010526
1768704704997_layering_cluster_165205,2026-01-18T02:51:44.997000+00:00,1768704704997,Jan-1-31,layering_cluster,165205,TP,0.75,Suspicious: 25 trades in 0.011bps range,,,,,59.57,,,,,0.010529
1768705117398_layering_cluster_166077,2026-01-18T02:58:37.398000+00:00,1768705117398,Jan-1-31,layering_cluster,166077,TP,0.8,Suspicious: 106 trades at sub-tick level (layering),,,,,56.309,,,,,0.010524
1768710807269_layering_cluster_177028,2026-01-18T04:33:27.269000+00:00,1768710807269,Jan-1-31,layering_cluster,177028,TP,0.8,Suspicious: 77 trades at sub-tick level (layering),,,,,57.715,,,,,0.010518
1768711900029_layering_cluster_178105,2026-01-18T04:51:40.029000+00:00,1768711900029,Jan-1-31,layering_cluster,178105,TP,0.8,Suspicious: 107 trades at sub-tick level (layering),,,,,52.989,,,,,0.010514
1768712206691_layering_cluster_178292,2026-01-18T04:56:46.691000+00:00,1768712206691,Jan-1-31,layering_cluster,178292,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,59.578,,,,,0.010515
1768712276820_layering_cluster_178304,2026-01-18T04:57:56.820000+00:00,1768712276820,Jan-1-31,layering_cluster,178304,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,53.288,,,,,0.010515
1768712206691_layering_cluster_51,2026-01-18T04:56:46.691000+00:00,1768712206691,Jan-1-31,layering_cluster,51,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,59.578,,,,,0.010515
1768712276820_layering_cluster_63,2026-01-18T04:57:56.820000+00:00,1768712276820,Jan-1-31,layering_cluster,63,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,53.288,,,,,0.010515
1768712415740_layering_cluster_233,2026-01-18T05:00:15.740000+00:00,1768712415740,Jan-1-31,layering_cluster,233,TP,0.8,Suspicious: 148 trades at sub-tick level (layering),,,,,55.351,,,,,0.010515
1768712485599_layering_cluster_398,2026-01-18T05:01:25.599000+00:00,1768712485599,Jan-1-31,layering_cluster,398,TP,0.8,Suspicious: 75 trades at sub-tick level (layering),,,,,59.482,,,,,0.010515
1768716737689_layering_cluster_9323,2026-01-18T06:12:17.689000+00:00,1768716737689,Jan-1-31,layering_cluster,9323,TP,0.8,Suspicious: 148 trades at sub-tick level (layering),,,,,51.535,,,,,0.010506
1768719604589_layering_cluster_13538,2026-01-18T07:00:04.589000+00:00,1768719604589,Jan-1-31,layering_cluster,13538,TP,0.8,Suspicious: 71 trades at sub-tick level (layering),,,,,55.651,,,,,0.010506
1768724003066_layering_cluster_25236,2026-01-18T08:13:23.066000+00:00,1768724003066,Jan-1-31,layering_cluster,25236,TP,0.7,Suspicious: dense cluster of 15 trades,,,,,57.991,,,,,0.010521
1768725194612_layering_cluster_26716,2026-01-18T08:33:14.612000+00:00,1768725194612,Jan-1-31,layering_cluster,26716,TP,0.7,Suspicious: dense cluster of 19 trades,,,,,58.576,,,,,0.021026
1768731238390_layering_cluster_38516,2026-01-18T10:13:58.390000+00:00,1768731238390,Jan-1-31,layering_cluster,38516,TP,0.8,Suspicious: 65 trades at sub-tick level (layering),,,,,54.475,,,,,0.01051
1768749996673_layering_cluster_76483,2026-01-18T15:26:36.673000+00:00,1768749996673,Jan-1-31,layering_cluster,76483,TP,0.8,Suspicious: 71 trades at sub-tick level (layering),,,,,56.347,,,,,0.010523
1768754701454_layering_cluster_86592,2026-01-18T16:45:01.454000+00:00,1768754701454,Jan-1-31,layering_cluster,86592,TP,0.8,Suspicious: 140 trades at sub-tick level (layering),,,,,59.265,,,,,0.010506
1768757544805_layering_cluster_91839,2026-01-18T17:32:24.805000+00:00,1768757544805,Jan-1-31,layering_cluster,91839,TP,0.8,Suspicious: 38 trades at sub-tick level (layering),,,,,59.731,,,,,0.010497
1768758205174_layering_cluster_93030,2026-01-18T17:43:25.174000+00:00,1768758205174,Jan-1-31,layering_cluster,93030,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,52.636,,,,,0.010504
1768759687021_layering_cluster_95189,2026-01-18T18:08:07.021000+00:00,1768759687021,Jan-1-31,layering_cluster,95189,TP,0.8,Suspicious: 66 trades at sub-tick level (layering),,,,,55.697,,,,,0.010501
1768769943788_layering_cluster_119905,2026-01-18T20:59:03.788000+00:00,1768769943788,Jan-1-31,layering_cluster,119905,TP,0.7,Suspicious: dense cluster of 17 trades,,,,,59.299,,,,,0.010492
1768770367678_layering_cluster_120656,2026-01-18T21:06:07.678000+00:00,1768770367678,Jan-1-31,layering_cluster,120656,TP,0.8,Suspicious: 40 trades at sub-tick level (layering),,,,,42.607,,,,,0.010492
1768771267029_layering_cluster_121982,2026-01-18T21:21:07.029000+00:00,1768771267029,Jan-1-31,layering_cluster,121982,TP,0.8,Suspicious: 43 trades at sub-tick level (layering),,,,,57.94,,,,,0.010489
1768772182955_layering_cluster_123451,2026-01-18T21:36:22.955000+00:00,1768772182955,Jan-1-31,layering_cluster,123451,TP,0.7,Borderline but tight range (0.0105bps) = likely layering,,,,,57.882,,,,,0.010484
1768773100389_layering_cluster_124764,2026-01-18T21:51:40.389000+00:00,1768773100389,Jan-1-31,layering_cluster,124764,TP,0.7,Suspicious: dense cluster of 17 trades,,,,,58.6,,,,,0.010481
1768773274462_layering_cluster_125163,2026-01-18T21:54:34.462000+00:00,1768773274462,Jan-1-31,layering_cluster,125163,TP,0.75,Suspicious: 28 trades in 0.010bps range,,,,,58.598,,,,,0.010481
1768774764229_layering_cluster_127920,2026-01-18T22:19:24.229000+00:00,1768774764229,Jan-1-31,layering_cluster,127920,TP,0.8,Suspicious: 113 trades at sub-tick level (layering),,,,,59.154,,,,,0.010472
1768849228558_layering_cluster_209810,2026-01-19T19:00:28.558000+00:00,1768849228558,Jan-1-31,layering_cluster,209810,TP,0.8,Suspicious: 262 trades at sub-tick level (layering),,,,,59.125,,,,,0.021493
1768853784578_layering_cluster_221385,2026-01-19T20:16:24.578000+00:00,1768853784578,Jan-1-31,layering_cluster,221385,TP,0.7,Suspicious: dense cluster of 17 trades,,,,,59.509,,,,,0.010734
1769209890327_layering_cluster_287934,2026-01-23T23:11:30.327000+00:00,1769209890327,Jan-1-31,layering_cluster,287934,TP,0.8,Suspicious: 75 trades at sub-tick level (layering),,,,,57.413,,,,,0.011167
1769222434684_layering_cluster_314011,2026-01-24T02:40:34.684000+00:00,1769222434684,Jan-1-31,layering_cluster,314011,TP,0.8,Suspicious: 135 trades at sub-tick level (layering),,,,,59.562,,,,,0.011151
