timestamp_iso_utc,timestamp_ms,day,detector,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart
2026-02-04T05:29:28.783000+00:00,1770182968783,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2692ms) = wash (user-learned),2692,0.1566,0.013079,3
2026-02-04T05:30:41.480000+00:00,1770183041480,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2110ms) = wash (user-learned),2110,0.9291,0.37945,4
2026-02-04T05:30:41.524000+00:00,1770183041524,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2154ms) = wash (user-learned),2154,0.9378,0.719658,5
2026-02-04T05:30:47.414000+00:00,1770183047414,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (105ms) = wash (user-learned),105,0.0759,0.143983,2
2026-02-04T05:30:47.414000+00:00,1770183047414,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (102ms) = wash (user-learned),102,0.0759,0.039268,1
2026-02-04T05:31:43.783000+00:00,1770183103783,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (89ms) + similar amount = wash,89,0.4151,0.366293,1
2026-02-04T05:34:45.540000+00:00,1770183285540,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2659ms) = wash (user-learned),2659,,0.261732,3
2026-02-04T05:36:06.810000+00:00,1770183366810,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1203ms) = wash (user-learned),1203,0.8076,0.013089,5
2026-02-04T05:36:26.044000+00:00,1770183386044,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (588ms) = wash (user-learned),588,0.423,0.0,2
2026-02-04T05:40:10.813000+00:00,1770183610813,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (84ms) + similar amount = wash,84,0.0759,0.458384,5
2026-02-04T05:40:11.150000+00:00,1770183611150,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (337ms) = wash (user-learned),337,0.1718,0.013096,1
2026-02-04T05:40:11.850000+00:00,1770183611850,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1037ms) = wash (user-learned),1037,0.1705,0.144059,2
2026-02-04T05:40:59.484000+00:00,1770183659484,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1754ms) = wash (user-learned),1754,,0.117921,3
2026-02-04T05:41:34.363000+00:00,1770183694363,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1424ms) = wash (user-learned),1424,,0.013111,4
2026-02-04T05:41:34.363000+00:00,1770183694363,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1424ms) = wash (user-learned),1424,,0.013111,3
2026-02-04T05:41:34.363000+00:00,1770183694363,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1424ms) = wash (user-learned),1424,,0.013111,5
2026-02-04T05:43:28.255000+00:00,1770183808255,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (19ms) + similar amount = wash,19,0.5964,0.013112,1
2026-02-04T05:44:02.730000+00:00,1770183842730,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2154ms) = wash (user-learned),2154,,0.249105,5
2026-02-04T05:44:52.500000+00:00,1770183892500,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2650ms) = wash (user-learned),2650,0.5575,0.354063,4
2026-02-04T05:45:53.091000+00:00,1770183953091,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (538ms) = wash (user-learned),538,0.1069,0.013113,5
2026-02-04T05:46:18.803000+00:00,1770183978803,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (4ms) + similar amount = wash,4,0.0062,0.104855,2
