alert_id,detector,verdict,source,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_sec,notional_usd,balance_ratio,created_at
mirror_reversal_1765185221956_auto,mirror_reversal,FP,auto:obvious,3320.0,0.0,0.477814,5.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765187278150_auto,mirror_reversal,FP,auto:obvious,3322.0,8.4e-05,0.010877,3.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765192407360_auto,mirror_reversal,FP,auto:obvious,3324.0,0.001018,0.010858,3.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765173063485_auto,mirror_reversal,FP,auto:obvious,3329.0,0.000946,0.175022,2.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765239049871_auto,mirror_reversal,FP,auto:obvious,3331.0,2.4e-05,0.011018,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765176911937_auto,mirror_reversal,FP,auto:obvious,3334.0,0.0009,0.010919,1.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765182634304_auto,mirror_reversal,FP,auto:obvious,3345.0,0.0,0.479827,5.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765246842240_auto,mirror_reversal,FP,auto:obvious,3347.0,0.00095,0.011082,3.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765187649556_auto,mirror_reversal,FP,auto:obvious,3351.0,0.000938,0.010881,2.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765197730294_auto,mirror_reversal,FP,auto:obvious,3353.0,0.000765,0.010894,5.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765196161926_auto,mirror_reversal,FP,auto:obvious,3354.0,0.001031,0.010892,4.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765175771310_auto,mirror_reversal,FP,auto:obvious,3357.0,0.000972,0.010925,2.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765224672967_auto,mirror_reversal,FP,auto:obvious,3357.0,0.000889,0.0,2.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765251790283_auto,mirror_reversal,FP,auto:obvious,3364.0,4.4e-05,0.011064,2.0,,,,"2026-02-17 23:00:15"
mirror_reversal_1765175870083_auto,mirror_reversal,FP,auto:obvious,3365.0,0.001008,0.010916,3.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765197499749_auto,mirror_reversal,FP,auto:obvious,3372.0,0.000952,0.010897,4.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765212043908_auto,mirror_reversal,FP,auto:obvious,3372.0,0.000951,0.011066,4.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765176905943_auto,mirror_reversal,FP,auto:obvious,3376.0,0.001063,0.01092,4.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765227494490_auto,mirror_reversal,FP,auto:obvious,3379.0,4.4e-05,0.011018,4.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765198980780_auto,mirror_reversal,FP,auto:obvious,3384.0,0.001,0.010896,1.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765247005427_auto,mirror_reversal,FP,auto:obvious,3386.0,0.005384,0.0,3.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765225244638_auto,mirror_reversal,FP,auto:obvious,3389.0,0.0,0.45317,5.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765237526723_auto,mirror_reversal,FP,auto:obvious,3390.0,0.0,0.871647,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765194817612_auto,mirror_reversal,FP,auto:obvious,3397.0,0.001021,0.010879,2.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765254529188_auto,mirror_reversal,FP,auto:obvious,3397.0,0.000942,0.011064,2.0,,,,"2026-02-17 23:00:15"
