event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key,review_verdict,review_notes
1768939878149_mirror_reversal_312768_312772,2026-01-20T20:11:18.149000+00:00,1768939878149,Jan-1-31,mirror_reversal,312768_312772,FP,0.9,Slow (3.1s) = normal (user-learned),3055.0,0.0182,0.502234,4.0,,,,,,,False,False,False,False,False,False,,
1769537628136_mirror_reversal_156042_156046,2026-01-27T18:13:48.136000+00:00,1769537628136,Jan-1-31,mirror_reversal,156042_156046,FP,0.9,Slow (3.3s) = normal (user-learned),3304.0,0.0,0.28522,4.0,,,,,,,False,False,False,False,False,False,,
1768970464193_mirror_reversal_447016_447021,2026-01-21T04:41:04.193000+00:00,1768970464193,Jan-1-31,mirror_reversal,447016_447021,FP,0.9,Slow (3.4s) = normal (user-learned),3362.0,0.9198,0.011175,5.0,,,,,,,False,False,False,False,False,False,,
1767816138268_mirror_reversal_270154_270157,2026-01-07T20:02:18.268000+00:00,1767816138268,Jan-1-31,mirror_reversal,270154_270157,FP,0.9,Slow (3.0s) = normal (user-learned),3003.0,0.0982,0.010954,3.0,,,,,,,False,False,False,False,False,False,,
1767829381443_mirror_reversal_333826_333828,2026-01-07T23:43:01.443000+00:00,1767829381443,Jan-1-31,mirror_reversal,333826_333828,FP,0.9,Slow (3.5s) = normal (user-learned),3482.0,0.1521,0.010962,2.0,,,,,,,False,False,False,False,False,False,,
1767805938441_mirror_reversal_215469_215474,2026-01-07T17:12:18.441000+00:00,1767805938441,Jan-1-31,mirror_reversal,215469_215474,FP,0.9,Slow (3.0s) = normal (user-learned),3037.0,0.1004,0.01096,5.0,,,,,,,False,False,False,False,False,False,,
1769840947180_mirror_reversal_10817_10820,2026-01-31T06:29:07.180000+00:00,1769840947180,Jan-1-31,mirror_reversal,10817_10820,FP,0.9,Slow (3.4s) = normal (user-learned),3422.0,0.0,0.131473,3.0,,,,,,,False,False,False,False,False,False,,
1767866093437_mirror_reversal_92261_92263,2026-01-08T09:54:53.437000+00:00,1767866093437,Jan-1-31,mirror_reversal,92261_92263,FP,0.9,Slow (3.4s) = normal (user-learned),3351.0,0.1081,0.011103,2.0,,,,,,,False,False,False,False,False,False,,
1768620217129_mirror_reversal_286731_286732,2026-01-17T03:23:37.129000+00:00,1768620217129,Jan-1-31,mirror_reversal,286731_286732,FP,0.9,Slow (3.3s) = normal (user-learned),3287.0,0.0963,0.010494,1.0,,,,,,,False,False,False,False,False,False,,
1767806653541_mirror_reversal_220038_220040,2026-01-07T17:24:13.541000+00:00,1767806653541,Jan-1-31,mirror_reversal,220038_220040,FP,0.9,Slow (3.5s) = normal (user-learned),3472.0,0.1001,0.010917,2.0,,,,,,,False,False,False,False,False,False,,
1769543306197_mirror_reversal_177499_177504,2026-01-27T19:48:26.197000+00:00,1769543306197,Jan-1-31,mirror_reversal,177499_177504,FP,0.9,Slow (3.1s) = normal (user-learned),3079.0,0.0,0.260028,5.0,,,,,,,False,False,False,False,False,False,,
1769543250802_mirror_reversal_177360_177363,2026-01-27T19:47:30.802000+00:00,1769543250802,Jan-1-31,mirror_reversal,177360_177363,FP,0.9,Slow (3.3s) = normal (user-learned),3301.0,0.0,0.24871,3.0,,,,,,,False,False,False,False,False,False,,
1768301773155_mirror_reversal_98762_98764,2026-01-13T10:56:13.155000+00:00,1768301773155,Jan-1-31,mirror_reversal,98762_98764,FP,0.9,Slow (3.3s) = normal (user-learned),3330.0,0.1084,0.010857,2.0,,,,,,,False,False,False,False,False,False,,
1767831207312_mirror_reversal_341044_341047,2026-01-08T00:13:27.312000+00:00,1767831207312,Jan-1-31,mirror_reversal,341044_341047,FP,0.9,Slow (3.3s) = normal (user-learned),3345.0,0.1002,0.010963,3.0,,,,,,,False,False,False,False,False,False,,
