event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key
1767325094151_mirror_reversal_179867_179872,2026-01-02T03:38:14.151000+00:00,1767325094151,Jan-1-31,mirror_reversal,179867_179872,FP,0.9,Slow (3.1s) = normal (user-learned),3145.0,0.188,0.011248,5.0,,,,,,,False,False,False,False,False,False
1767325914779_mirror_reversal_185075_185080,2026-01-02T03:51:54.779000+00:00,1767325914779,Jan-1-31,mirror_reversal,185075_185080,FP,0.9,Slow (3.2s) = normal (user-learned),3175.0,0.0,0.011225,5.0,,,,,,,False,False,False,False,False,False
1767325914779_mirror_reversal_185076_185080,2026-01-02T03:51:54.779000+00:00,1767325914779,Jan-1-31,mirror_reversal,185076_185080,FP,0.9,Slow (3.2s) = normal (user-learned),3173.0,0.0,0.011225,4.0,,,,,,,False,False,False,False,False,False
1767325934681_mirror_reversal_185189_185194,2026-01-02T03:52:14.681000+00:00,1767325934681,Jan-1-31,mirror_reversal,185189_185194,FP,0.9,Slow (3.2s) = normal (user-learned),3175.0,0.0,0.011224,5.0,,,,,,,False,False,False,False,False,False
1767325934681_mirror_reversal_185190_185194,2026-01-02T03:52:14.681000+00:00,1767325934681,Jan-1-31,mirror_reversal,185190_185194,FP,0.9,Slow (3.2s) = normal (user-learned),3175.0,0.0,0.011224,4.0,,,,,,,False,False,False,False,False,False
1767336372564_mirror_reversal_16515_16520,2026-01-02T06:46:12.564000+00:00,1767336372564,Jan-1-31,mirror_reversal,16515_16520,TP,0.7,"Gap zone (2966ms) - closer to TP boundary, labeled wash",2966.0,0.0,0.011231,5.0,,,,,,,False,False,False,False,False,False
1767336372564_mirror_reversal_16516_16520,2026-01-02T06:46:12.564000+00:00,1767336372564,Jan-1-31,mirror_reversal,16516_16520,TP,0.7,"Gap zone (2963ms) - closer to TP boundary, labeled wash",2963.0,0.0,0.011231,4.0,,,,,,,False,False,False,False,False,False
1767336372564_mirror_reversal_16517_16520,2026-01-02T06:46:12.564000+00:00,1767336372564,Jan-1-31,mirror_reversal,16517_16520,TP,0.7,"Gap zone (2963ms) - closer to TP boundary, labeled wash",2963.0,0.0,0.011231,3.0,,,,,,,False,False,False,False,False,False
1767336372564_mirror_reversal_16518_16520,2026-01-02T06:46:12.564000+00:00,1767336372564,Jan-1-31,mirror_reversal,16518_16520,TP,0.7,"Gap zone (2960ms) - closer to TP boundary, labeled wash",2960.0,0.0,0.011231,2.0,,,,,,,False,False,False,False,False,False
1767336372564_mirror_reversal_16519_16520,2026-01-02T06:46:12.564000+00:00,1767336372564,Jan-1-31,mirror_reversal,16519_16520,TP,0.7,"Gap zone (2960ms) - closer to TP boundary, labeled wash",2960.0,0.0,0.011231,1.0,,,,,,,False,False,False,False,False,False
1767343889721_mirror_reversal_45739_45740,2026-01-02T08:51:29.721000+00:00,1767343889721,Jan-1-31,mirror_reversal,45739_45740,TP,0.85,Under 2.9s (2800ms) = wash (user-learned),2800.0,0.0,0.011222,1.0,,,,,,,False,False,False,False,False,False
1767343963399_mirror_reversal_46181_46186,2026-01-02T08:52:43.399000+00:00,1767343963399,Jan-1-31,mirror_reversal,46181_46186,TP,0.7,"Gap zone (2989ms) - closer to TP boundary, labeled wash",2989.0,0.0,0.01122,5.0,,,,,,,False,False,False,False,False,False
1767346688243_mirror_reversal_59576_59578,2026-01-02T09:38:08.243000+00:00,1767346688243,Jan-1-31,mirror_reversal,59576_59578,TP,0.7,"Gap zone (2954ms) - closer to TP boundary, labeled wash",2954.0,0.5412,0.011215,2.0,,,,,,,False,False,False,False,False,False
1767347039538_mirror_reversal_61174_61178,2026-01-02T09:43:59.538000+00:00,1767347039538,Jan-1-31,mirror_reversal,61174_61178,TP,0.85,Under 2.9s (2832ms) = wash (user-learned),2832.0,0.1,0.011209,4.0,,,,,,,False,False,False,False,False,False
1767347039538_mirror_reversal_61175_61178,2026-01-02T09:43:59.538000+00:00,1767347039538,Jan-1-31,mirror_reversal,61175_61178,TP,0.85,Under 2.9s (2829ms) = wash (user-learned),2829.0,0.0,0.011209,3.0,,,,,,,False,False,False,False,False,False
1767347039538_mirror_reversal_61176_61178,2026-01-02T09:43:59.538000+00:00,1767347039538,Jan-1-31,mirror_reversal,61176_61178,TP,0.85,Under 2.9s (2829ms) = wash (user-learned),2829.0,0.0,0.011209,2.0,,,,,,,False,False,False,False,False,False
1767353680059_mirror_reversal_96784_96789,2026-01-02T11:34:40.059000+00:00,1767353680059,Jan-1-31,mirror_reversal,96784_96789,TP,0.7,"Gap zone (2954ms) - closer to TP boundary, labeled wash",2954.0,0.3984,0.011179,5.0,,,,,,,False,False,False,False,False,False
1767356171125_mirror_reversal_107772_107774,2026-01-02T12:16:11.125000+00:00,1767356171125,Jan-1-31,mirror_reversal,107772_107774,TP,0.85,Under 2.9s (2815ms) = wash (user-learned),2815.0,0.0,0.011169,2.0,,,,,,,False,False,False,False,False,False
1767356362870_mirror_reversal_108882_108887,2026-01-02T12:19:22.870000+00:00,1767356362870,Jan-1-31,mirror_reversal,108882_108887,TP,0.7,"Gap zone (2968ms) - closer to TP boundary, labeled wash",2968.0,0.1996,0.011163,5.0,,,,,,,False,False,False,False,False,False
1767356362870_mirror_reversal_108883_108887,2026-01-02T12:19:22.870000+00:00,1767356362870,Jan-1-31,mirror_reversal,108883_108887,TP,0.7,"Gap zone (2965ms) - closer to TP boundary, labeled wash",2965.0,0.1996,0.011163,4.0,,,,,,,False,False,False,False,False,False
1767356362870_mirror_reversal_108883_108888,2026-01-02T12:19:22.870000+00:00,1767356362870,Jan-1-31,mirror_reversal,108883_108888,TP,0.7,"Gap zone (2965ms) - closer to TP boundary, labeled wash",2965.0,0.1996,0.011163,5.0,,,,,,,False,False,False,False,False,False
1767356374323_mirror_reversal_108942_108947,2026-01-02T12:19:34.323000+00:00,1767356374323,Jan-1-31,mirror_reversal,108942_108947,TP,0.7,"Gap zone (2952ms) - closer to TP boundary, labeled wash",2952.0,0.1007,0.011163,5.0,,,,,,,False,False,False,False,False,False
1767357485678_mirror_reversal_113606_113609,2026-01-02T12:38:05.678000+00:00,1767357485678,Jan-1-31,mirror_reversal,113606_113609,TP,0.85,Under 2.9s (2863ms) = wash (user-learned),2863.0,0.0018,0.01118,3.0,,,,,,,False,False,False,False,False,False
1767357748095_mirror_reversal_114723_114727,2026-01-02T12:42:28.095000+00:00,1767357748095,Jan-1-31,mirror_reversal,114723_114727,TP,0.7,"Gap zone (2961ms) - closer to TP boundary, labeled wash",2961.0,0.1002,0.011174,4.0,,,,,,,False,False,False,False,False,False
1767359032400_mirror_reversal_119782_119787,2026-01-02T13:03:52.400000+00:00,1767359032400,Jan-1-31,mirror_reversal,119782_119787,TP,0.7,"Gap zone (2993ms) - closer to TP boundary, labeled wash",2993.0,0.0,0.011186,5.0,,,,,,,False,False,False,False,False,False
1767359032400_mirror_reversal_119783_119787,2026-01-02T13:03:52.400000+00:00,1767359032400,Jan-1-31,mirror_reversal,119783_119787,TP,0.7,"Gap zone (2993ms) - closer to TP boundary, labeled wash",2993.0,0.0,0.011186,4.0,,,,,,,False,False,False,False,False,False
1767359786745_mirror_reversal_122306_122311,2026-01-02T13:16:26.745000+00:00,1767359786745,Jan-1-31,mirror_reversal,122306_122311,TP,0.85,Under 2.9s (2905ms) = wash (user-learned),2905.0,0.1002,0.011168,5.0,,,,,,,False,False,False,False,False,False
1767360772330_mirror_reversal_127088_127093,2026-01-02T13:32:52.330000+00:00,1767360772330,Jan-1-31,mirror_reversal,127088_127093,TP,0.85,Under 2.9s (2823ms) = wash (user-learned),2823.0,0.0119,0.469536,5.0,,,,,,,False,False,False,False,False,False
1767360772330_mirror_reversal_127089_127093,2026-01-02T13:32:52.330000+00:00,1767360772330,Jan-1-31,mirror_reversal,127089_127093,TP,0.85,Under 2.9s (2823ms) = wash (user-learned),2823.0,0.0119,0.268309,4.0,,,,,,,False,False,False,False,False,False
1767360772330_mirror_reversal_127091_127093,2026-01-02T13:32:52.330000+00:00,1767360772330,Jan-1-31,mirror_reversal,127091_127093,TP,0.85,Under 2.9s (2810ms) = wash (user-learned),2810.0,0.0119,0.067078,2.0,,,,,,,False,False,False,False,False,False
1767366465344_mirror_reversal_160822_160827,2026-01-02T15:07:45.344000+00:00,1767366465344,Jan-1-31,mirror_reversal,160822_160827,TP,0.85,Under 2.9s (2835ms) = wash (user-learned),2835.0,0.0,0.011192,5.0,,,,,,,False,False,False,False,False,False
1767366465344_mirror_reversal_160823_160827,2026-01-02T15:07:45.344000+00:00,1767366465344,Jan-1-31,mirror_reversal,160823_160827,TP,0.85,Under 2.9s (2832ms) = wash (user-learned),2832.0,0.0,0.011192,4.0,,,,,,,False,False,False,False,False,False
1767367839897_mirror_reversal_170768_170773,2026-01-02T15:30:39.897000+00:00,1767367839897,Jan-1-31,mirror_reversal,170768_170773,TP,0.85,Under 2.9s (2888ms) = wash (user-learned),2888.0,0.0,0.516243,5.0,,,,,,,False,False,False,False,False,False
1767367839897_mirror_reversal_170769_170773,2026-01-02T15:30:39.897000+00:00,1767367839897,Jan-1-31,mirror_reversal,170769_170773,TP,0.85,Under 2.9s (2888ms) = wash (user-learned),2888.0,0.0,0.516243,4.0,,,,,,,False,False,False,False,False,False
1767367839897_mirror_reversal_170770_170773,2026-01-02T15:30:39.897000+00:00,1767367839897,Jan-1-31,mirror_reversal,170770_170773,TP,0.85,Under 2.9s (2888ms) = wash (user-learned),2888.0,0.0,0.516243,3.0,,,,,,,False,False,False,False,False,False
1767367839897_mirror_reversal_170771_170773,2026-01-02T15:30:39.897000+00:00,1767367839897,Jan-1-31,mirror_reversal,170771_170773,TP,0.85,Under 2.9s (2888ms) = wash (user-learned),2888.0,0.0,0.516243,2.0,,,,,,,False,False,False,False,False,False
1767370308100_mirror_reversal_188397_188402,2026-01-02T16:11:48.100000+00:00,1767370308100,Jan-1-31,mirror_reversal,188397_188402,TP,0.85,Under 2.9s (2896ms) = wash (user-learned),2896.0,0.0,0.011156,5.0,,,,,,,False,False,False,False,False,False
1767370308100_mirror_reversal_188398_188402,2026-01-02T16:11:48.100000+00:00,1767370308100,Jan-1-31,mirror_reversal,188398_188402,TP,0.85,Under 2.9s (2893ms) = wash (user-learned),2893.0,0.0,0.011156,4.0,,,,,,,False,False,False,False,False,False
